UserID,Name,Email,Phone,City
USER_001,User_1,user1@example.com,9436811590,Chennai
USER_002,User_2,user2@example.com,9116867404,Hyderabad
USER_003,User_3,user3@example.com,9371822500,Pune
USER_004,User_4,user4@example.com,9139070829,Chennai
USER_005,User_5,user5@example.com,9691442406,Bangalore
USER_006,User_6,user6@example.com,9684204905,Kolkata
USER_007,User_7,user7@example.com,9281605406,Pune
USER_008,User_8,user8@example.com,9415698280,Hyderabad
USER_009,User_9,user9@example.com,9756238877,Hyderabad
USER_010,User_10,user10@example.com,9344118003,Mumbai
USER_011,User_11,user11@example.com,9572852318,Chennai
USER_012,User_12,user12@example.com,9523175237,Bangalore
USER_013,User_13,user13@example.com,9857135425,Delhi
USER_014,User_14,user14@example.com,9188480124,Bangalore
USER_015,User_15,user15@example.com,9934327065,Pune
USER_016,User_16,user16@example.com,9666231900,Pune
USER_017,User_17,user17@example.com,9766673477,Hyderabad
USER_018,User_18,user18@example.com,9376647423,Chennai
USER_019,User_19,user19@example.com,9306583590,Bangalore
USER_020,User_20,user20@example.com,9644334668,Bangalore
USER_021,User_21,user21@example.com,9411559567,Mumbai
USER_022,User_22,user22@example.com,9750282923,Mumbai
USER_023,User_23,user23@example.com,9277953894,Hyderabad
USER_024,User_24,user24@example.com,9414162741,Kolkata
USER_025,User_25,user25@example.com,9798209106,Hyderabad
USER_026,User_26,user26@example.com,9906258247,Kolkata
USER_027,User_27,user27@example.com,9955083811,Pune
USER_028,User_28,user28@example.com,9559749934,Mumbai
USER_029,User_29,user29@example.com,9955314539,Pune
USER_030,User_30,user30@example.com,9300998360,Bangalore
USER_031,User_31,user31@example.com,9500880886,Mumbai
USER_032,User_32,user32@example.com,9543114728,Delhi
USER_033,User_33,user33@example.com,9673420436,Chennai
USER_034,User_34,user34@example.com,9139284483,Delhi
USER_035,User_35,user35@example.com,9960214839,Chennai
USER_036,User_36,user36@example.com,9477422547,Mumbai
USER_037,User_37,user37@example.com,9988508519,Hyderabad
USER_038,User_38,user38@example.com,9456633271,Chennai
USER_039,User_39,user39@example.com,9688818046,Pune
USER_040,User_40,user40@example.com,9428873785,Hyderabad
USER_041,User_41,user41@example.com,9234798767,Mumbai
USER_042,User_42,user42@example.com,9574860482,Delhi
USER_043,User_43,user43@example.com,9570043966,Chennai
USER_044,User_44,user44@example.com,9676522364,Bangalore
USER_045,User_45,user45@example.com,9905263608,Pune
USER_046,User_46,user46@example.com,9209444474,Mumbai
USER_047,User_47,user47@example.com,9606912847,Chennai
USER_048,User_48,user48@example.com,9292334689,Chennai
USER_049,User_49,user49@example.com,9479905058,Pune
USER_050,User_50,user50@example.com,9532010471,Mumbai
